Date,Clicks,Impressions,CTR,Position
2026-05-07,3,91,3.3%,14.4
2026-05-08,6,97,6.19%,11.8
2026-05-09,3,53,5.66%,17.4
2026-05-10,0,42,0%,26.5
2026-05-11,1,105,0.95%,13.8
2026-05-12,3,120,2.5%,11.5
2026-05-13,2,111,1.8%,12.8
2026-05-14,3,101,2.97%,14.8
2026-05-15,1,57,1.75%,16.2
2026-05-16,0,53,0%,29.7
